,Temp,3.95,10.95,MW,LW,WIDE,TH1,TH2,THAVG,Target T [K]
0,373,17.81105263157895,49.316842105263156,6.574210526315789,63.43684210526315,16.79368421052632,768.0015789473684,771.3510526315789,769.6763157894737,373
1,423,28.482499999999998,87.3785,12.2485,116.1825,32.5505,736.8534999999999,744.2655,740.5595000000001,423
2,473,41.166666666666664,128.06666666666666,23.48190476190476,180.32333333333332,57.28047619047619,669.9590476190476,688.567619047619,679.2633333333333,473
3,523,56.52,172.983,43.467,256.4545,91.80850000000001,633.8444999999999,651.2479999999999,642.54625,523
4,573,78.1545,221.608,73.47749999999999,341.053,137.451,549.0445,577.646,563.3452500000001,573
5,623,106.434,279.2165,122.22549999999998,439.9125,203.882,432.90200000000004,452.72300000000007,442.8125,623
6,673,154.3725,355.3555,186.842,551.2194999999999,283.6865,462.91499999999996,473.02650000000006,467.97075000000007,673
7,723,205.53400000000002,425.691,280.5045,668.53,396.525,348.46549999999996,366.512,357.48875,723
8,773,251.5,473.51099999999997,390.68199999999996,784.3485,507.3095,304.59499999999997,319.581,312.088,773
