Plot_Name,Burn_Unit,Latitude,Longitude
E01,F6.3,32.06845984,-81.73068105
E02,F6.3,32.07214524,-81.73644815
E06,F6.3,32.05627055,-81.73404865
E07,F6.3,32.06105545,-81.74362685
E10,F6.3,32.06298244,-81.73157025
E11,F6.3,32.07604374,-81.73242895
E23,F6.4,32.06999019,-81.72004379
E25,F6.4,32.07249452,-81.72996745
E26,F6.4,32.05916675,-81.73243375
E28,F6.4,32.07155618,-81.73011011
E30,F6.4,32.04814176,-81.73752723
F01,F6.3,32.06415167,-81.73828287
F05,F6.3,32.05220154,-81.74029137
F07,F6.3,32.06599784,-81.73209145
F10,F6.3,32.05212129,-81.73802776
F11,F6.3,32.05978581,-81.73604814
F16,F6.3,32.05751601,-81.73729721
F18,F6.3,32.05806095,-81.74483115
F19,F6.3,32.05123268,-81.73792064
F20,F6.3,32.05308951,-81.74279067
F41,F6.4,32.05216665,-81.73417355
F46,F6.4,32.05687115,-81.73073835
F47,F6.4,32.05768597,-81.72249337
F48,F6.4,32.07610792,-81.72874848
F50,F6.4,32.05139405,-81.72968315
F52,F6.4,32.05440975,-81.73303955
F53,F6.4,32.07140655,-81.72119537
F57,F6.4,32.06137427,-81.7251971
F60,F6.4,32.04681595,-81.73602625
F79,F6.4,32.04739765,-81.73732045
W01,F6.3,32.0629066,-81.73510461
W03,F6.3,32.06490519,-81.7351554
W07,F6.3,32.05619735,-81.74328515
W09,F6.3,32.05870414,-81.74119415
W11,F6.3,32.05644655,-81.74244775
W20,F6.3,32.06213444,-81.7396159
W21,F6.4,32.05387485,-81.72984445
W25,F6.4,32.05748338,-81.72456299
W26,F6.4,32.06940199,-81.72652096
W27,F6.4,32.04793465,-81.72551695
W29,F6.4,32.05356265,-81.72900795
